CustomerID,Churn,churn_probability,risk_band
3318902,1,0.9453286195360724,High
3168274,1,0.9340192038452139,High
3184634,1,0.9304912878470734,High
3334666,0,0.9287990864099446,High
3162574,1,0.9263575555300615,High
3211030,1,0.9262844778171757,High
3175202,1,0.922627532482754,High
3271778,1,0.9180047835586548,High
3072810,0,0.9156759319251595,High
3197746,1,0.9154380862211656,High
3390618,1,0.9137023267947071,High
3224102,1,0.9116714355174935,High
3323918,1,0.9114423829836777,High
3141974,1,0.9109331325366784,High
3236034,1,0.9101350964506126,High
3233142,1,0.9077664448928227,High
3309034,1,0.9076586166366496,High
3140762,1,0.9074838169550701,High
3162482,1,0.9071504776244025,High
3050254,1,0.9069426824087309,High
3053894,1,0.9067135758646677,High
3183090,1,0.9014918469277211,High
3212190,1,0.9011573884210781,High
3014806,1,0.89951679818542,High
3244958,0,0.8984949579640615,High
3316778,1,0.898476486412449,High
3352558,1,0.8984028743882044,High
3266714,1,0.8973258083438949,High
3189186,1,0.896087102163825,High
3253190,1,0.8953957029607218,High
3354986,1,0.8953420415171995,High
3000810,1,0.8952077799141195,High
3310134,1,0.8936941564479406,High
3318634,1,0.8936387799686539,High
3104234,1,0.8933036765775182,High
3076426,1,0.8911252698117855,High
3311506,1,0.89109363559872,High
3074602,1,0.8909328783135926,High
3019214,1,0.8897715265792329,High
3389454,1,0.8896460131817383,High
3002418,1,0.8895044904589504,High
3333130,0,0.8887856484396934,High
3333054,0,0.8877013896783037,High
3117170,1,0.8874614692532551,High
3328494,1,0.8865922865903945,High
3305262,1,0.8865416823638443,High
3318318,1,0.8861198323431415,High
3061650,1,0.8852207641999854,High
3238826,1,0.8848437322257081,High
3101378,1,0.8832283291723816,High
3356530,1,0.8826338129032636,High
3187354,1,0.8823419643884086,High
3392806,1,0.8821924609778461,High
3096670,1,0.8820392597120825,High
3313730,1,0.8815515264580049,High
3166282,1,0.8815157580228585,High
3084930,1,0.8813708884281068,High
3311682,1,0.880081060309506,High
3073002,1,0.8798926367246019,High
3269078,1,0.8793084910350367,High
3277078,1,0.8791034649803225,High
3181982,1,0.8788894050419851,High
3054866,1,0.878592827138204,High
3071174,1,0.8785728865630666,High
3304006,1,0.8780058242123107,High
3310158,1,0.8776739376273073,High
3350858,1,0.8774012127111486,High
3219250,1,0.8760935408794226,High
3004866,1,0.8757393099926182,High
3360934,1,0.8753763696668783,High
3328490,1,0.8753381369957723,High
3293526,1,0.8753021509030188,High
3302990,1,0.8747840043099219,High
3313162,1,0.8746812299170563,High
3295090,1,0.8746746507457873,High
3000618,1,0.8735516747086359,High
3190762,1,0.8734972822841469,High
3003894,1,0.8734057000614006,High
3318582,1,0.8732904892059441,High
3273346,1,0.872580121573191,High
3069554,1,0.8723979716075614,High
3054794,1,0.8722158511294478,High
3080286,1,0.8721518243355464,High
3245730,1,0.8720126754218305,High
3038574,1,0.8720059492510487,High
3137322,1,0.8714353288036943,High
3154114,1,0.8708785535086033,High
3281086,1,0.870800384959671,High
3252374,0,0.8707066824118483,High
3329254,1,0.8705627473616899,High
3089294,1,0.8703990696827927,High
3068586,0,0.8702597370252979,High
3351810,1,0.8702229899309896,High
3137102,1,0.8701183300092936,High
3217278,1,0.8700743759222042,High
3267230,1,0.8699475319515876,High
3265322,1,0.8693670168594736,High
3316538,1,0.8693209067053127,High
3286570,1,0.8691365159501948,High
3334558,1,0.8679773593206102,High
3002214,1,0.8679673044027483,High
3367450,1,0.8679127394728018,High
3287142,1,0.8678403441284929,High
3296894,1,0.8670025723125431,High
3325942,0,0.866678023269601,High
3005802,1,0.8665958419929368,High
3351570,1,0.8664754114247077,High
3008226,1,0.866052359392933,High
3359058,1,0.8654103122012302,High
3302050,1,0.8653180052516496,High
3170254,1,0.865263484056634,High
3010642,1,0.8651961103667245,High
3314930,1,0.8649360321600941,High
3014074,1,0.8649015924853166,High
3015518,1,0.864849820177255,High
3312250,1,0.8648469442145047,High
3029402,0,0.8647704089461901,High
3173406,1,0.8644611460802671,High
3088030,1,0.8636990179215916,High
3310434,1,0.8634939568145944,High
3046166,1,0.8629195218798688,High
3114302,1,0.8628855470022551,High
3312374,1,0.8628712189655211,High
3316882,1,0.8626231389293503,High
3248194,1,0.8625982242078741,High
3245558,1,0.8624584621562527,High
3330050,1,0.8619891565034394,High
3032378,1,0.8617598323044537,High
3217586,1,0.8617478436995801,High
3294546,1,0.8616482015197452,High
3268386,1,0.861593962526909,High
3122758,1,0.8613528272324066,High
3367646,1,0.8613097571311279,High
3045386,1,0.8609770539545875,High
3321594,1,0.8604629123307305,High
3312034,1,0.8601460903175484,High
3010042,1,0.8601384728405903,High
3294486,0,0.8599860065505188,High
3346094,1,0.8599404065227866,High
3010870,1,0.859767866336826,High
3289266,1,0.8592650337893736,High
3159922,1,0.8590916984942656,High
3215370,0,0.8590883367817085,High
3288906,1,0.8590437844562253,High
3219878,1,0.8590266168766338,High
3252382,1,0.858853245754421,High
3132234,1,0.8587766687436252,High
3250002,1,0.8587305844527039,High
3336230,1,0.8583668390010014,High
3274246,1,0.8579088442155547,High
3274730,1,0.8579088442155547,High
3154802,1,0.8570317219960928,High
3273574,1,0.8569397437348216,High
3275902,1,0.8569392890277764,High
3323602,1,0.8564393406350211,High
3394430,1,0.856275557309085,High
3399722,1,0.8560993785018474,High
3095906,1,0.8560745941045163,High
3062258,1,0.8560148008398297,High
